Name (Optional),Age,Gender,Email,Contact Number,After I've gone through a really dangerous experience  ,I'd rather  ,Call me a name and  ,In love and war  ,When I go to parties  ,some people have told me  ,  so-called effeminate men  ,"Using drugs or alcohol to ""encourage"" a woman to have sex with you is  ",  I like ,so-called prick teasers ,When I have had a few drinks ,Any man who is a man  ,When I have a drink or two ,When it comes to taking risks ,In conflicts with others ,Getting into fights,When I feel like fighting I  ,"Given what I know about fighting,  ",  When I'm bored ,I like to ,so-called pick-ups should    ,  In my opinion  ,  When it comes to having sex  ,   I would prefer to be a  ,Lesbians have a particular lifestyle  ,"If someone challenges you to a fight,  ","  If you insult me,  ","Has anyone touched your sex organs in a sexual manner or against your will?  If yes, how old were you when it first happened?","Has anyone ever forced you to touch his or her sex organs in a sexual manner and against your will?  If yes, how old were you when it first happened?","Has anyone tried to force you to have sexual intercourse against your will? If yes, how old were you when it first happened?","Have you ever had another unwanted or threatening sexual experience that is not named above? If yes, how old were you when it first happened?","If you ever had another unwanted or threatening sexual experience that is not named above, can you give a short description of what it involved?","If you have had one of the above experiences, have you ever discussed it with anyone? If yes, with whom?","Have you ever intentionally been treated by someone in such a way that you suffered physical injury (for example beaten, stamped on, kicked or pushed)?
(Physical injury means, for example: bruises, welts, broken nose, broken teeth, broken bones, cuts, burns and loss of consciousness). If yes, how old were you when it first happened?","Have you ever experienced something that is not listed above and which you have perceived as violent? If yes, how old were you when it first happened?","If you ever experienced something that is not listed above and which you have perceived as violent, can you describe briefly?","If you have ever experienced one of these things (physical violence or physical injury due to someone), have you ever discussed it with anyone?","If you have had one of the above experiences, would you like to talk to someone about it?",I am ashamed of how few sexual experiences I've had at this point  ,I often feel guilty or ashamed after masturbating  ,"If I could get rid of my interest in sex, I would  ",I am comfortable with my body  ,I have had sexual experiences with other men that I would be ashamed to tell anyone about  ,I am confident in my ability to please my partners in bed  ,I am good at sex  ,I have had sexual thoughts that I would be ashamed to tell anyone about  ,I find it uncomfortable to look at myself while naked  ,It would be better if I had a lower sex drive  ,I am ashamed that I use/have used pornography  ,My lack of sexual experiences makes me feel like less of a man  ,I wish I didn't need as much sex as I do  ,I worry that most men have had more sex than me  ,I would feel better about myself if I viewed less porn than I do  ,I am self-conscious about the way my body looks  ,I have engaged in sexual acts that I would be ashamed to tell anyone about  ,I worry about being able to sexually satisfy my partner(s)  ,I usually tell people I've had FEWER sexual partners than I've had  ,I worry about being rejected because of my body  ,I am comfortable with the amount of sex I need  ,I feel bad about wanting to masturbate  ,I would feel better about myself if I had more sexual experiences  ,I feel sexually inadequate  ,Watching pornography makes me feel bad about myself  ,I am embarrassed by my sexual functioning or performance  ,I've told others that I am MORE sexually experienced than I really am to escape ridicule  ,"As best I can, I avoid seeing myself naked  ",I feel bad about liking sex  ,I've told people that I am LESS sexually experienced than I really am to escape ridicule  
Tushar Pathak,28,Male,tusharpathak@gmail.com,8771985662,4,1,10,2,1,10,2,3,10,2,9,10,2,5,9,5,10,3,7,4,6,2,6,5,2,10,8,No,"Yes, I was 6 year old or older, but less than 12 year old","Yes, I was 6 year old or older, but less than 12 year old",Yes,No,"Yes, I have discussed it with a relative","Yes, I was 16 year old or older",No,Na,No,Not applicable,2,4,3,2,5,5,1,3,2,2,5,1,1,2,4,5,5,3,5,1,2,5,5,5,1,2,3,2,5,3
Alok Dhawan,28,Male,alokdhawan@outlook.com,6093784504,8,7,4,7,2,3,9,5,4,5,1,8,7,7,3,9,1,4,10,2,10,10,4,4,3,6,9,No,No,No,Yes,Not Relevant,No,No,No,Beatings from Parents,"Yes, I have discussed it with medical workers (for example: GP, specialist, social worker, psychologist, psychiatrist)",No,2,3,2,4,1,4,2,1,1,2,2,2,4,3,4,5,4,2,2,4,3,4,2,1,4,4,2,1,2,2
Jeet Acharya,22,Male,jeetacharya@gmail.com,8995148819,7,10,5,9,6,10,2,1,8,3,5,4,4,9,9,7,4,5,2,5,7,1,3,2,5,10,1,No,No,No,No,Beatings from Parents,No,No,No,Na,No,No,1,5,5,4,1,4,4,5,5,5,4,4,4,2,3,3,3,3,5,1,1,2,4,3,3,3,2,3,4,3
Mahesh Prakash,27,Male,maheshprakash@yahoo.com,6415900723,4,9,3,8,3,9,2,7,3,10,2,4,1,3,9,8,5,8,7,2,2,8,8,8,10,10,3,No,No,No,No,Nothing,No,"Yes, I was 12 year old or older, but less than 16 year old","Yes, I was 12 year old or older, but less than 16 year old",Nooo,No,Don't know,5,5,1,4,4,1,1,5,3,5,1,5,5,3,3,3,3,3,3,5,5,4,1,3,1,1,3,2,2,2
Chetan Lal,24,Male,chetanlal@hotmail.com,7619670899,10,6,9,5,3,2,1,10,5,7,7,1,10,1,4,1,5,1,2,6,3,7,5,4,5,1,1,No,"Yes, I was less than 6 year old",No,No,No,No,No,No,Nothing,No,Yes,5,4,4,5,2,4,1,5,3,3,5,1,5,5,2,5,3,4,3,1,5,3,5,4,3,1,5,5,3,2
Rakesh Pandit,18,Male,rakeshpandit@gmail.com,9960564934,9,1,4,5,7,6,8,4,6,8,2,10,3,10,2,1,3,3,5,7,3,4,8,1,3,8,8,No,"Yes, I was less than 6 year old",No,No,Na,No,No,No,N/A,"Yes, I have discussed it with a relative",Yes,3,5,5,4,4,2,3,3,1,2,3,5,4,1,3,5,4,3,1,5,4,1,2,3,4,3,4,2,1,3
Lokesh Tandon,24,Male,lokeshtandon@gmail.com,9696207268,10,3,3,5,9,1,3,3,3,8,4,9,9,8,3,4,6,1,2,2,4,7,6,5,9,4,3,No,No,No,No,Beatings from Parents,No,No,"Yes, I was 16 year old or older",Nothing,No,No,5,1,5,2,5,2,2,3,5,1,3,4,3,1,1,3,2,1,5,3,1,3,5,4,5,1,4,5,3,3
Hardik Ahuja,20,Male,hardikahuja@hotmail.com,8591206558,7,8,1,3,10,6,2,7,3,7,7,7,5,6,5,8,4,4,7,6,6,3,1,7,2,7,8,No,No,No,No,No,"Yes, I have discussed it with medical workers (for example: GP, specialist, social worker, psychologist, psychiatrist)",No,"Yes, I was 6 year old or older, but less than 12 year old",Nooo,No,Not applicable,2,5,3,5,1,2,2,3,4,1,2,2,1,1,3,1,4,3,3,1,5,2,2,2,2,3,3,2,2,1
Rishabh Mathur,29,Male,rishabhmathur@outlook.com,8552498015,10,5,8,4,8,1,7,3,10,7,3,2,1,3,9,10,8,8,6,6,5,3,10,4,7,5,10,No,No,No,No,Beatings from Parents,No,"Yes, I was 16 year old or older",No,Commenting,No,Not applicable,1,5,1,5,5,3,3,2,2,4,5,2,2,1,4,2,2,1,3,3,3,5,5,4,1,2,5,3,2,3
Hemant Das,22,Male,hemantdas@outlook.com,8976750427,3,1,9,10,4,4,2,5,5,8,5,10,5,3,9,4,10,4,3,2,8,3,9,10,5,2,8,"Yes, I was 6 year old or older, but less than 12 year old",No,No,"Yes, I was 16 year old or older",N/A,No,No,No,Nooo,No,Not applicable,3,2,4,1,2,5,4,2,2,5,1,5,3,2,3,4,1,2,2,5,1,2,4,4,1,1,4,4,4,4
